channel,band,comparison,beta,p,p_fdr,significant
CP1,Delta,COM vs TD,0.022160566890435038,0.8667148430003808,0.9999999352048242,False
CP1,Theta,ADHD vs TD,0.0006690579726784833,0.9961364884292873,0.9999999352048242,False
CP1,Theta,COM vs TD,0.04598377015946818,0.7318242682714629,0.9999999352048242,False
CP1,Alpha,ADHD vs TD,-0.098041292402509,0.5728835765387295,0.9999999352048242,False
CP1,Alpha,COM vs TD,0.02393326053336905,0.8872934187834597,0.9999999352048242,False
CP1,Beta,ADHD vs TD,-0.10989368418486897,0.38098744291337794,0.9999999352048242,False
CP1,Beta,COM vs TD,0.016295245179155062,0.8935784463949411,0.9999999352048242,False
CP1,Gamma,ADHD vs TD,-1.9096626643796464,0.9999984354619447,0.9999999352048242,False
CP1,Gamma,COM vs TD,-0.6901079179162632,0.9999994088135706,0.9999999352048242,False
CP2,Delta,ADHD vs TD,1.6530588907947426,0.999998947988353,0.9999999352048242,False
CP2,Delta,COM vs TD,0.4345053958958145,0.9999997108618696,0.9999999352048242,False
CP2,Theta,ADHD vs TD,0.041238746942898995,0.6790433869468167,0.9999999352048242,False
CP2,Theta,COM vs TD,-0.024694210821535115,0.7986289071740077,0.9999999352048242,False
CP2,Alpha,ADHD vs TD,0.010251426135954736,0.9468540128502719,0.9999999352048242,False
CP2,Alpha,COM vs TD,-0.03877054791307873,0.7951778267981526,0.9999999352048242,False
CP2,Beta,ADHD vs TD,-0.056363632779073636,0.5509406544328004,0.9999999352048242,False
CP2,Beta,COM vs TD,-0.0911212305976948,0.3208193660422194,0.9999999352048242,False
CP2,Gamma,ADHD vs TD,0.08882260261497794,0.41228417272030504,0.9999999352048242,False
CP2,Gamma,COM vs TD,-0.140026398923362,0.18326705878963057,0.9999999352048242,False
CP3,Delta,ADHD vs TD,-0.010162629918987228,0.942051164919428,0.9999999352048242,False
CP3,Delta,COM vs TD,0.005213276967531216,0.9693729134597528,0.9999999352048242,False
CP3,Theta,ADHD vs TD,0.054593199079827494,0.6726498281988433,0.9999999352048242,False
CP3,Theta,COM vs TD,0.007815900744894123,0.950332792887543,0.9999999352048242,False
CP3,Alpha,ADHD vs TD,-0.023874056818855446,0.8843581800583973,0.9999999352048242,False
CP3,Alpha,COM vs TD,-0.02450531143426716,0.877819822587136,0.9999999352048242,False
CP3,Beta,ADHD vs TD,-0.05576938596373427,0.6375033953381766,0.9999999352048242,False
CP3,Beta,COM vs TD,0.01333592842617629,0.9076280121834198,0.9999999352048242,False
CP3,Gamma,ADHD vs TD,0.05184486352312267,0.6138939413738962,0.9999999352048242,False
CP3,Gamma,COM vs TD,-0.04182255054327908,0.6751755564020349,0.9999999352048242,False
CP4,Delta,ADHD vs TD,-2.159405374499712,0.9999987085925869,0.9999999352048242,False
CP4,Delta,COM vs TD,-0.5425964845994589,0.9999996606998552,0.9999999352048242,False
CP4,Theta,ADHD vs TD,0.0658913114796166,0.5437827898156684,0.9999999352048242,False
CP4,Theta,COM vs TD,0.050726511657458326,0.6303217642288725,0.9999999352048242,False
CP4,Alpha,ADHD vs TD,0.0267366569499874,0.8429809991059544,0.9999999352048242,False
CP4,Alpha,COM vs TD,0.02289862060359784,0.8613228820642718,0.9999999352048242,False
CP4,Beta,ADHD vs TD,0.0019383512087825395,0.9853950783311944,0.9999999352048242,False
CP4,Beta,COM vs TD,-0.012359530207702724,0.9043271334971814,0.9999999352048242,False
CP4,Gamma,ADHD vs TD,0.0938802034496468,0.5014181509383409,0.9999999352048242,False
CP4,Gamma,COM vs TD,-0.06156213244818633,0.6498828682649507,0.9999999352048242,False
CP5,Delta,ADHD vs TD,0.08352287443500839,0.5657675761173737,0.9999999352048242,False
CP5,Delta,COM vs TD,0.09127253741565622,0.5181524831996337,0.9999999352048242,False
CP5,Theta,ADHD vs TD,0.10602802325787172,0.3924550518047387,0.9999999352048242,False
CP5,Theta,COM vs TD,0.12719389892962416,0.2907794240065472,0.9999999352048242,False
CP5,Alpha,ADHD vs TD,0.02749156193225828,0.867117238535422,0.9999999352048242,False
CP5,Alpha,COM vs TD,0.1212246971314961,0.44739663711610234,0.9999999352048242,False
CP5,Beta,ADHD vs TD,0.000395453311778161,0.997243777560503,0.9999999352048242,False
CP5,Beta,COM vs TD,0.0406736200609481,0.7144540881026221,0.9999999352048242,False
CP5,Gamma,ADHD vs TD,0.047305316883436054,0.6401826344317278,0.9999999352048242,False
CP5,Gamma,COM vs TD,-0.035612352971182704,0.7171064677381571,0.9999999352048242,False
CP6,Delta,ADHD vs TD,-1.664493996569469,0.9999990465389091,0.9999999352048242,False
CP6,Delta,COM vs TD,4.171346258294567,0.9999975015253032,0.9999999352048242,False
